vertice time
855 0.5468692779541016
52 0.5481777191162109
113 0.5424349308013916
605 0.5238654613494873
589 0.5535595417022705
525 0.5707433223724365
987 0.5510404109954834
659 0.536733865737915
96 0.5430903434753418
229 0.5671813488006592
76 0.5632805824279785
936 0.5706202983856201
610 0.5357363224029541
181 0.5839264392852783
1000 0.5252959728240967
66 0.5437333583831787
114 0.5387203693389893
838 0.5556905269622803
327 0.5278360843658447
255 0.5192275047302246
551 0.5267434120178223
231 0.532243013381958
787 0.5491213798522949
818 0.5336692333221436
871 0.5357522964477539
683 0.5286145210266113
286 0.5250139236450195
316 0.5262043476104736
749 0.5498731136322021
64 0.533923864364624
907 0.5295367240905762
78 0.5384232997894287
239 0.5372207164764404
527 0.5523736476898193
2 0.5356330871582031
805 0.5517637729644775
526 0.516664981842041
833 0.5191633701324463
62 0.5244870185852051
468 0.5252745151519775
662 0.5421884059906006
934 0.5192108154296875
647 0.5489163398742676
772 0.513768196105957
628 0.54714035987854
743 0.5206162929534912
518 0.5336718559265137
179 0.5441462993621826
97 0.5321507453918457
885 0.5137228965759277
154 0.5322871208190918
487 0.5388076305389404
470 0.5203278064727783
949 0.5508251190185547
876 0.5222718715667725
206 0.54282546043396
370 0.5271062850952148
495 0.5200996398925781
842 0.5335290431976318
825 0.5233657360076904
539 0.5191895961761475
917 0.542583703994751
1 0.5569627285003662
256 0.5483860969543457
33 0.5333716869354248
983 0.5141329765319824
745 0.5380902290344238
14 0.5496819019317627
3 0.5186142921447754
768 0.5274193286895752
519 0.5342648029327393
831 0.5193555355072021
898 0.5141386985778809
646 0.526172399520874
241 0.5214464664459229
850 0.5455152988433838
786 0.5207180976867676
186 0.5206410884857178
18 0.5165185928344727
182 0.5565097332000732
380 0.5227789878845215
947 0.5163218975067139
845 0.5228488445281982
480 0.5329279899597168
324 0.5183370113372803
22 0.5240919589996338
760 0.5253159999847412
698 0.5143482685089111
24 0.5166130065917969
417 0.5203516483306885
750 0.5475986003875732
55 0.5426461696624756
222 0.5366957187652588
28 0.5185532569885254
728 0.5489461421966553
312 0.556727409362793
453 0.5272395610809326
685 0.5263071060180664
197 0.5301740169525146
293 0.5243408679962158
